ID,Question_Number,Module_ID,Module_Name,Year_Group,Strand,Substrand,Level,Difficulty_Score,Question_Type,Question_Text,Visual_Type,Question_Data_JSON,Correct_Answer,Answer_Type,Options_JSON,Hint,Tags,Generated_At,Parameters_JSON
N04_Y1_NPV_1762009300575_4cjzmc4uv,1,N04_Y1_NPV,N04_Y1_NPV: Identify and Represent Numbers,Year 1,Number and Place Value,"Identify, represent and estimate; rounding",1,25,multiple_choice,Which is most: 3 or 2?,multiple_choice,"{""originalText"":""Which is most: 3 or 2?"",""type"":""place_value"",""number"":3,""operation"":""generic""}",3,single_choice,"[3,2]",Think about which number is bigger or smaller,multiple_choice; multiple-choice; number-and-place-value; year-1; op-number_line_position; op-count_objects; op-compare_language; op-identify_most_least; numbers-to-20,2025-11-01T15:01:40.575Z,"{""min_value"":0,""max_value"":10,""operations"":[""number_line_position"",""count_objects"",""compare_language"",""identify_most_least""],""number_line_max"":10,""object_types"":[""dots"",""stars"",""circles""],""comparison_words"":[""equal to"",""more than"",""less than"",""most"",""least""]}"
N04_Y1_NPV_1762009300575_4whi7ikcm,2,N04_Y1_NPV,N04_Y1_NPV: Identify and Represent Numbers,Year 1,Number and Place Value,"Identify, represent and estimate; rounding",1,25,text_input,"What number is marked on the number line?


            
                
                0
            
        
            
                ▼
                
            
        
            
                
                2
            
        
            
                
                3
            
        
            
                
                4
            
        
            
                
                5
            
        
            
                
                6
            
        
            
                
                7
            
        
            
                
                8
            
        
            
                
                9
            
        
            
                
                10",number_line,"{""originalText"":""What number is marked on the number line?\n\n<div class=\""simple-number-line\"">\n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">0</div>\n            </div>\n        \n            <div class=\""number-line-tick marked\"">\n                <div class=\""marker\"">▼</div>\n                \n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">2</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">3</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">4</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">5</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">6</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">7</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">8</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">9</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">10</div>\n            </div>\n        </div>"",""type"":""comparison"",""numbers"":[0,2,3,4,5,6,7,8,9,10]}",1,numeric,,Look at where the arrow points between the labeled numbers,text_input; number_line; number-and-place-value; year-1; op-number_line_position; op-count_objects; op-compare_language; op-identify_most_least; numbers-to-20,2025-11-01T15:01:40.575Z,"{""min_value"":0,""max_value"":10,""operations"":[""number_line_position"",""count_objects"",""compare_language"",""identify_most_least""],""number_line_max"":10,""object_types"":[""dots"",""stars"",""circles""],""comparison_words"":[""equal to"",""more than"",""less than"",""most"",""least""]}"
N04_Y1_NPV_1762009300575_di3umhkyw,3,N04_Y1_NPV,N04_Y1_NPV: Identify and Represent Numbers,Year 1,Number and Place Value,"Identify, represent and estimate; rounding",1,25,text_input,"What number is marked on the number line?


            
                ▼
                
            
        
            
                
                1
            
        
            
                
                2
            
        
            
                
                3
            
        
            
                
                4
            
        
            
                
                5
            
        
            
                
                6
            
        
            
                
                7
            
        
            
                
                8
            
        
            
                
                9
            
        
            
                
                10",number_line,"{""originalText"":""What number is marked on the number line?\n\n<div class=\""simple-number-line\"">\n            <div class=\""number-line-tick marked\"">\n                <div class=\""marker\"">▼</div>\n                \n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">1</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">2</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">3</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">4</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">5</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">6</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">7</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">8</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">9</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">10</div>\n            </div>\n        </div>"",""type"":""comparison"",""numbers"":[1,2,3,4,5,6,7,8,9,10]}",0,numeric,,Look at where the arrow points between the labeled numbers,text_input; number_line; number-and-place-value; year-1; op-number_line_position; op-count_objects; op-compare_language; op-identify_most_least; numbers-to-20,2025-11-01T15:01:40.575Z,"{""min_value"":0,""max_value"":10,""operations"":[""number_line_position"",""count_objects"",""compare_language"",""identify_most_least""],""number_line_max"":10,""object_types"":[""dots"",""stars"",""circles""],""comparison_words"":[""equal to"",""more than"",""less than"",""most"",""least""]}"
N04_Y1_NPV_1762009300575_vgqfcop96,4,N04_Y1_NPV,N04_Y1_NPV: Identify and Represent Numbers,Year 1,Number and Place Value,"Identify, represent and estimate; rounding",1,25,text_input,How many cells are filled in the ten frame?,text_input,"{""originalText"":""How many cells are filled in the ten frame?\n\n<div class=\""ten-frame\""><div class=\""ten-frame-cell filled\"" style=\""background-color: #f59e0b\""></div><div class=\""ten-frame-cell filled\"" style=\""background-color: #f59e0b\""></div><div class=\""ten-frame-cell filled\"" style=\""background-color: #f59e0b\""></div><div class=\""ten-frame-cell filled\"" style=\""background-color: #f59e0b\""></div><div class=\""ten-frame-cell empty\"" style=\""background-color: #e5e7eb\""></div><div class=\""ten-frame-cell empty\"" style=\""background-color: #e5e7eb\""></div><div class=\""ten-frame-cell empty\"" style=\""background-color: #e5e7eb\""></div><div class=\""ten-frame-cell empty\"" style=\""background-color: #e5e7eb\""></div><div class=\""ten-frame-cell empty\"" style=\""background-color: #e5e7eb\""></div><div class=\""ten-frame-cell empty\"" style=\""background-color: #e5e7eb\""></div></div>"",""type"":""comparison"",""numbers"":[]}",4,numeric,,"Count carefully, one at a time",text_input; number-and-place-value; year-1; op-number_line_position; op-count_objects; op-compare_language; op-identify_most_least; numbers-to-20,2025-11-01T15:01:40.575Z,"{""min_value"":0,""max_value"":10,""operations"":[""number_line_position"",""count_objects"",""compare_language"",""identify_most_least""],""number_line_max"":10,""object_types"":[""dots"",""stars"",""circles""],""comparison_words"":[""equal to"",""more than"",""less than"",""most"",""least""]}"
N04_Y1_NPV_1762009300575_2ltb1lojm,5,N04_Y1_NPV,N04_Y1_NPV: Identify and Represent Numbers,Year 1,Number and Place Value,"Identify, represent and estimate; rounding",1,25,multiple_choice,Is 9 equal to 7?,multiple_choice,"{""originalText"":""Is 9 equal to 7?"",""type"":""place_value"",""number"":9,""operation"":""generic""}",No,single_choice,"[""Yes"",""No""]",Think about which number is bigger or smaller,multiple_choice; multiple-choice; number-and-place-value; year-1; op-number_line_position; op-count_objects; op-compare_language; op-identify_most_least; numbers-to-20,2025-11-01T15:01:40.575Z,"{""min_value"":0,""max_value"":10,""operations"":[""number_line_position"",""count_objects"",""compare_language"",""identify_most_least""],""number_line_max"":10,""object_types"":[""dots"",""stars"",""circles""],""comparison_words"":[""equal to"",""more than"",""less than"",""most"",""least""]}"
N04_Y1_NPV_1762009300576_058lnshgg,1,N04_Y1_NPV,N04_Y1_NPV: Identify and Represent Numbers,Year 1,Number and Place Value,"Identify, represent and estimate; rounding",2,45,multiple_choice,About how many blocks are there if you see a group that's close to 9?,multiple_choice,"{""originalText"":""About how many blocks are there if you see a group that's close to 9?"",""type"":""place_value"",""number"":9,""operation"":""generic""}",9,single_choice,"[9,5,11,7]",Look for the number closest to what you'd estimate,multiple_choice; multiple-choice; number-and-place-value; year-1; op-number_line_position; op-count_objects; op-compare_language; op-identify_most_least; op-estimate_group; numbers-to-20,2025-11-01T15:01:40.576Z,"{""min_value"":0,""max_value"":20,""operations"":[""number_line_position"",""count_objects"",""compare_language"",""identify_most_least"",""estimate_group""],""number_line_max"":20,""object_types"":[""dots"",""stars"",""circles"",""blocks""],""comparison_words"":[""equal to"",""more than"",""less than"",""fewer"",""most"",""least""]}"
N04_Y1_NPV_1762009300576_4wp2nbw42,2,N04_Y1_NPV,N04_Y1_NPV: Identify and Represent Numbers,Year 1,Number and Place Value,"Identify, represent and estimate; rounding",2,45,multiple_choice,About how many circles are there if you see a group that's close to 8?,multiple_choice,"{""originalText"":""About how many circles are there if you see a group that's close to 8?"",""type"":""place_value"",""number"":8,""operation"":""generic""}",8,single_choice,"[6,8,4,10]",Look for the number closest to what you'd estimate,multiple_choice; multiple-choice; number-and-place-value; year-1; op-number_line_position; op-count_objects; op-compare_language; op-identify_most_least; op-estimate_group; numbers-to-20,2025-11-01T15:01:40.576Z,"{""min_value"":0,""max_value"":20,""operations"":[""number_line_position"",""count_objects"",""compare_language"",""identify_most_least"",""estimate_group""],""number_line_max"":20,""object_types"":[""dots"",""stars"",""circles"",""blocks""],""comparison_words"":[""equal to"",""more than"",""less than"",""fewer"",""most"",""least""]}"
N04_Y1_NPV_1762009300576_xwjnr5a1z,3,N04_Y1_NPV,N04_Y1_NPV: Identify and Represent Numbers,Year 1,Number and Place Value,"Identify, represent and estimate; rounding",2,45,text_input,"What number is marked on the number line?


            
                
                0
            
        
            
                
                2
            
        
            
                
                4
            
        
            
                
                6
            
        
            
                
                8
            
        
            
                
                10
            
        
            
                
                12
            
        
            
                ▼
                
            
        
            
                
                16
            
        
            
                
                18
            
        
            
                
                20",number_line,"{""originalText"":""What number is marked on the number line?\n\n<div class=\""simple-number-line\"">\n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">0</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">2</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">4</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">6</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">8</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">10</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">12</div>\n            </div>\n        \n            <div class=\""number-line-tick marked\"">\n                <div class=\""marker\"">▼</div>\n                \n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">16</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">18</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">20</div>\n            </div>\n        </div>"",""type"":""comparison"",""numbers"":[0,2,4,6,8,10,12,16,18,20]}",15,numeric,,Look at where the arrow points between the labeled numbers,text_input; number_line; number-and-place-value; year-1; op-number_line_position; op-count_objects; op-compare_language; op-identify_most_least; op-estimate_group; numbers-to-20,2025-11-01T15:01:40.576Z,"{""min_value"":0,""max_value"":20,""operations"":[""number_line_position"",""count_objects"",""compare_language"",""identify_most_least"",""estimate_group""],""number_line_max"":20,""object_types"":[""dots"",""stars"",""circles"",""blocks""],""comparison_words"":[""equal to"",""more than"",""less than"",""fewer"",""most"",""least""]}"
N04_Y1_NPV_1762009300576_t9n9u61rv,4,N04_Y1_NPV,N04_Y1_NPV: Identify and Represent Numbers,Year 1,Number and Place Value,"Identify, represent and estimate; rounding",2,45,text_input,"What number is marked on the number line?


            
                
                0
            
        
            
                
                2
            
        
            
                
                4
            
        
            
                
                6
            
        
            
                
                8
            
        
            
                ▼
                
            
        
            
                
                12
            
        
            
                
                14
            
        
            
                
                16
            
        
            
                
                18
            
        
            
                
                20",number_line,"{""originalText"":""What number is marked on the number line?\n\n<div class=\""simple-number-line\"">\n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">0</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">2</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">4</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">6</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">8</div>\n            </div>\n        \n            <div class=\""number-line-tick marked\"">\n                <div class=\""marker\"">▼</div>\n                \n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">12</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">14</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">16</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">18</div>\n            </div>\n        \n            <div class=\""number-line-tick \"">\n                \n                <div class=\""tick-label\"">20</div>\n            </div>\n        </div>"",""type"":""comparison"",""numbers"":[0,2,4,6,8,12,14,16,18,20]}",11,numeric,,Look at where the arrow points between the labeled numbers,text_input; number_line; number-and-place-value; year-1; op-number_line_position; op-count_objects; op-compare_language; op-identify_most_least; op-estimate_group; numbers-to-20,2025-11-01T15:01:40.576Z,"{""min_value"":0,""max_value"":20,""operations"":[""number_line_position"",""count_objects"",""compare_language"",""identify_most_least"",""estimate_group""],""number_line_max"":20,""object_types"":[""dots"",""stars"",""circles"",""blocks""],""comparison_words"":[""equal to"",""more than"",""less than"",""fewer"",""most"",""least""]}"
N04_Y1_NPV_1762009300576_nmare4e3h,5,N04_Y1_NPV,N04_Y1_NPV: Identify and Represent Numbers,Year 1,Number and Place Value,"Identify, represent and estimate; rounding",2,45,text_input,How many cells are filled in the ten frame?,text_input,"{""originalText"":""How many cells are filled in the ten frame?\n\n<div class=\""ten-frame\""><div class=\""ten-frame-cell filled\"" style=\""background-color: #8b5cf6\""></div><div class=\""ten-frame-cell filled\"" style=\""background-color: #8b5cf6\""></div><div class=\""ten-frame-cell filled\"" style=\""background-color: #8b5cf6\""></div><div class=\""ten-frame-cell empty\"" style=\""background-color: #e5e7eb\""></div><div class=\""ten-frame-cell empty\"" style=\""background-color: #e5e7eb\""></div><div class=\""ten-frame-cell empty\"" style=\""background-color: #e5e7eb\""></div><div class=\""ten-frame-cell empty\"" style=\""background-color: #e5e7eb\""></div><div class=\""ten-frame-cell empty\"" style=\""background-color: #e5e7eb\""></div><div class=\""ten-frame-cell empty\"" style=\""background-color: #e5e7eb\""></div><div class=\""ten-frame-cell empty\"" style=\""background-color: #e5e7eb\""></div></div>"",""type"":""comparison"",""numbers"":[]}",3,numeric,,"Count carefully, one at a time",text_input; number-and-place-value; year-1; op-number_line_position; op-count_objects; op-compare_language; op-identify_most_least; op-estimate_group; numbers-to-20,2025-11-01T15:01:40.576Z,"{""min_value"":0,""max_value"":20,""operations"":[""number_line_position"",""count_objects"",""compare_language"",""identify_most_least"",""estimate_group""],""number_line_max"":20,""object_types"":[""dots"",""stars"",""circles"",""blocks""],""comparison_words"":[""equal to"",""more than"",""less than"",""fewer"",""most"",""least""]}"
