original_pundex,topic_id,question_id,question_text,answer_type,correct_answer,alternative_answer_1
1,1,1536,Count forwards from 0. What is the next number after 1?,text_input,2,Two
1,1,1537,Count forwards from 1. What number comes after 3?,text_input,4,Four
1,1,1538,Start at 5 and count forwards. What is the next number?,text_input,6,Six
1,1,1539,What is one more than 7?,text_input,8,Eight
1,1,1540,Start counting from 0. What number is after 9?,text_input,10,Ten
1,1,1541,What number comes just after 6?,text_input,7,Seven
1,1,1542,Start at 0 and count on one. What is the number?,text_input,1,One
1,1,1543,"Count forwards. 8, 9, __. What is the next number?",text_input,10,Ten
1,1,1544,What number is one more than 2?,text_input,3,Three
1,1,1545,Count on from 1. What is the next number after 8?,text_input,9,Nine
1,1,1546,Count backwards from 10. What number comes before 9?,text_input,8,Eight
1,1,1547,Count backwards from 10. What number is just before 7?,text_input,6,Six
1,1,1548,Start at 10 and count back one. What number are you on?,text_input,9,Nine
1,1,1549,What is one less than 5?,text_input,4,Four
1,1,1550,Count backwards from 10. What comes before 2?,text_input,1,One
1,1,1551,What number comes just before 10?,text_input,9,Nine
1,1,1552,Start at 3 and count back one. What is the number?,text_input,2,Two
1,1,1553,"Count backwards. 4, 3, __. What is the next number?",text_input,2,Two
1,1,1554,What is one less than 10?,text_input,9,Nine
1,1,1555,What number is before 1 when you count back from 10?,text_input,0,Zero
1,1,1556,What is one more than 0?,text_input,1,One
1,1,1557,What is one less than 1?,text_input,0,Zero
1,1,1558,Count forwards from 1. What number comes after 6?,text_input,7,Seven
1,1,1559,Count backwards from 10. What number comes before 3?,text_input,2,Two
1,1,1560,What number is just after 4?,text_input,5,Five
2,1,1561,Start at 15 and count backwards. What is the next number?,text_input,14,
2,1,1562,"What number is missing? 18, 19, __",text_input,20,
2,1,1563,Start at 11 and count forwards. What number comes next?,text_input,12,
2,1,1564,Count backwards from 20. What is the number before 19?,text_input,18,
2,1,1565,What is one more than 16?,text_input,17,
2,1,1566,What is one less than 13?,text_input,12,
2,1,1567,"Fill in the missing number: 14, __, 16",text_input,15,
2,1,1568,Start at 19 and count back one. What number are you on?,text_input,18,
2,1,1569,Count on from 13. What is the next number?,text_input,14,
2,1,1570,"What number is missing? 17, 16, __",text_input,15,
2,1,1571,Count forwards from 8. What number comes after 9?,text_input,10,
2,1,1572,Count backwards from 12. What is the next number?,text_input,11,
2,1,1573,"Fill in the missing number: 9, 10, __",text_input,11,
2,1,1574,What is one more than 19?,text_input,20,
2,1,1575,Start at 14 and count backwards. What number do you say next?,text_input,13,
2,1,1576,What is one less than 20?,text_input,19,
2,1,1577,Count on from 5. What number comes after 6?,text_input,7,
