ID,Question_Number,Module_ID,Module_Name,Year_Group,Strand,Substrand,Level,Difficulty_Score,Question_Type,Question_Text,Visual_Type,Question_Data_JSON,Correct_Answer,Answer_Type,Options_JSON,Hint,Tags,Generated_At,Parameters_JSON
N01_Y1_NPV_1761062682441_gt1myjf8j,1,N01_Y1_NPV,N01_Y1_NPV: Counting in Multiples,Year 1,Number and Place Value,Counting (in multiples),1,20,multiple_choice,"Continue the pattern: 0, 2, 4, 6, ___",multiple_choice,"{""originalText"":""Continue the pattern: 0, 2, 4, 6, ___"",""type"":""sequence"",""sequence"":[0,2,4,6],""direction"":""forwards"",""stepSize"":1}",8,single_choice,"[10,9,8,6]",Count forwards in 2s,multiple_choice; multiple-choice; number-and-place-value; year-1; numbers-to-20,2025-10-21T16:04:42.441Z,"{""step_sizes"":[1,2],""min_value"":0,""max_value"":20,""directions"":[""forwards"",""backwards""],""start_from"":""zero_or_twenty"",""sequence_length"":5,""gaps_count"":1,""gap_position"":""end""}"
N01_Y1_NPV_1761062682441_h70cyz3lg,2,N01_Y1_NPV,N01_Y1_NPV: Counting in Multiples,Year 1,Number and Place Value,Counting (in multiples),1,20,text_input,"What number comes next? 20, 19, 18, 17, ___",text_input,"{""originalText"":""What number comes next? 20, 19, 18, 17, ___"",""type"":""sequence"",""sequence"":[20,19,18,17],""direction"":""forwards"",""stepSize"":1}",16,numeric,,Count backwards in 1s,text_input; number-and-place-value; year-1; numbers-to-20,2025-10-21T16:04:42.441Z,"{""step_sizes"":[1,2],""min_value"":0,""max_value"":20,""directions"":[""forwards"",""backwards""],""start_from"":""zero_or_twenty"",""sequence_length"":5,""gaps_count"":1,""gap_position"":""end""}"
N01_Y1_NPV_1761062682441_se1fvthhc,3,N01_Y1_NPV,N01_Y1_NPV: Counting in Multiples,Year 1,Number and Place Value,Counting (in multiples),1,20,text_input,"What number comes next? 20, 18, 16, 14, ___",text_input,"{""originalText"":""What number comes next? 20, 18, 16, 14, ___"",""type"":""sequence"",""sequence"":[20,18,16,14],""direction"":""forwards"",""stepSize"":1}",12,numeric,,Count backwards in 2s,text_input; number-and-place-value; year-1; numbers-to-20,2025-10-21T16:04:42.441Z,"{""step_sizes"":[1,2],""min_value"":0,""max_value"":20,""directions"":[""forwards"",""backwards""],""start_from"":""zero_or_twenty"",""sequence_length"":5,""gaps_count"":1,""gap_position"":""end""}"
N01_Y1_NPV_1761062682441_htkjr61zy,4,N01_Y1_NPV,N01_Y1_NPV: Counting in Multiples,Year 1,Number and Place Value,Counting (in multiples),1,20,text_input,"What number comes next? 20, 18, 16, 14, ___",text_input,"{""originalText"":""What number comes next? 20, 18, 16, 14, ___"",""type"":""sequence"",""sequence"":[20,18,16,14],""direction"":""forwards"",""stepSize"":1}",12,numeric,,Count backwards in 2s,text_input; number-and-place-value; year-1; numbers-to-20,2025-10-21T16:04:42.441Z,"{""step_sizes"":[1,2],""min_value"":0,""max_value"":20,""directions"":[""forwards"",""backwards""],""start_from"":""zero_or_twenty"",""sequence_length"":5,""gaps_count"":1,""gap_position"":""end""}"
N01_Y1_NPV_1761062682441_abkmgyyvm,5,N01_Y1_NPV,N01_Y1_NPV: Counting in Multiples,Year 1,Number and Place Value,Counting (in multiples),1,20,text_input,"Fill in the missing number: 20, 19, ___, 17, 16",text_input,"{""originalText"":""Fill in the missing number: 20, 19, ___, 17, 16"",""type"":""sequence"",""sequence"":[20,19,17,16],""direction"":""forwards"",""stepSize"":1}",18,numeric,,The pattern counts backwards in 1s,text_input; number-and-place-value; year-1; numbers-to-20,2025-10-21T16:04:42.441Z,"{""step_sizes"":[1,2],""min_value"":0,""max_value"":20,""directions"":[""forwards"",""backwards""],""start_from"":""zero_or_twenty"",""sequence_length"":5,""gaps_count"":1,""gap_position"":""end""}"
N01_Y1_NPV_1761062682441_kn75mukkp,1,N01_Y1_NPV,N01_Y1_NPV: Counting in Multiples,Year 1,Number and Place Value,Counting (in multiples),2,40,text_input,"Fill in the missing number: 16, 18, 20, ___, 24, 26",text_input,"{""originalText"":""Fill in the missing number: 16, 18, 20, ___, 24, 26"",""type"":""sequence"",""sequence"":[16,18,20,24,26],""direction"":""forwards"",""stepSize"":1}",22,numeric,,The pattern counts forwards in 2s,text_input; number-and-place-value; year-1; numbers-to-100,2025-10-21T16:04:42.441Z,"{""step_sizes"":[1,2,5],""min_value"":0,""max_value"":50,""directions"":[""forwards"",""backwards""],""start_from"":""any"",""sequence_length"":6,""gaps_count"":1,""gap_position"":""middle""}"
N01_Y1_NPV_1761062682441_knu2r5uqg,2,N01_Y1_NPV,N01_Y1_NPV: Counting in Multiples,Year 1,Number and Place Value,Counting (in multiples),2,40,multiple_choice,"Continue the pattern: 12, 14, 16, 18, 20, ___",multiple_choice,"{""originalText"":""Continue the pattern: 12, 14, 16, 18, 20, ___"",""type"":""sequence"",""sequence"":[12,14,16,18,20],""direction"":""forwards"",""stepSize"":1}",22,single_choice,"[20,24,23,22]",Count forwards in 2s,multiple_choice; multiple-choice; number-and-place-value; year-1; numbers-to-100,2025-10-21T16:04:42.441Z,"{""step_sizes"":[1,2,5],""min_value"":0,""max_value"":50,""directions"":[""forwards"",""backwards""],""start_from"":""any"",""sequence_length"":6,""gaps_count"":1,""gap_position"":""middle""}"
N01_Y1_NPV_1761062682441_yrsp3o42b,3,N01_Y1_NPV,N01_Y1_NPV: Counting in Multiples,Year 1,Number and Place Value,Counting (in multiples),2,40,text_input,"What number comes next? 25, 26, 27, 28, 29, ___",text_input,"{""originalText"":""What number comes next? 25, 26, 27, 28, 29, ___"",""type"":""sequence"",""sequence"":[25,26,27,28,29],""direction"":""forwards"",""stepSize"":1}",30,numeric,,Count forwards in 1s,text_input; number-and-place-value; year-1; numbers-to-100,2025-10-21T16:04:42.441Z,"{""step_sizes"":[1,2,5],""min_value"":0,""max_value"":50,""directions"":[""forwards"",""backwards""],""start_from"":""any"",""sequence_length"":6,""gaps_count"":1,""gap_position"":""middle""}"
N01_Y1_NPV_1761062682441_jpbd1gxv8,4,N01_Y1_NPV,N01_Y1_NPV: Counting in Multiples,Year 1,Number and Place Value,Counting (in multiples),2,40,text_input,"What number comes next? 5, 10, 15, 20, 25, ___",text_input,"{""originalText"":""What number comes next? 5, 10, 15, 20, 25, ___"",""type"":""sequence"",""sequence"":[5,10,15,20,25],""direction"":""forwards"",""stepSize"":1}",30,numeric,,Count forwards in 5s,text_input; number-and-place-value; year-1; numbers-to-100,2025-10-21T16:04:42.441Z,"{""step_sizes"":[1,2,5],""min_value"":0,""max_value"":50,""directions"":[""forwards"",""backwards""],""start_from"":""any"",""sequence_length"":6,""gaps_count"":1,""gap_position"":""middle""}"
N01_Y1_NPV_1761062682441_ae2repxje,5,N01_Y1_NPV,N01_Y1_NPV: Counting in Multiples,Year 1,Number and Place Value,Counting (in multiples),2,40,text_input,"Fill in the missing number: 0, 5, 10, ___, 20, 25",text_input,"{""originalText"":""Fill in the missing number: 0, 5, 10, ___, 20, 25"",""type"":""sequence"",""sequence"":[0,5,10,20,25],""direction"":""forwards"",""stepSize"":1}",15,numeric,,The pattern counts forwards in 5s,text_input; number-and-place-value; year-1; numbers-to-100,2025-10-21T16:04:42.441Z,"{""step_sizes"":[1,2,5],""min_value"":0,""max_value"":50,""directions"":[""forwards"",""backwards""],""start_from"":""any"",""sequence_length"":6,""gaps_count"":1,""gap_position"":""middle""}"
